drep_type	drep_hash	stake	vote	bucket	stored_active	stored_expiry	stored_last_interaction	recomputed_active	recomputed_expiry	fallback_expiry	fallback_active
0	23213f6c240ed7b5195216cd5cc2b113a718a9c5e557dcb80512a238	2052242978		EXCLUDED_INACTIVE	false	529		false	529	507	false
0	4f6ca4f879a3b5ce09e9f97918f515117b853c68edb78b35a4322522	1932883008		EXCLUDED_INACTIVE	false	537		false	537	537	false
0	7dfe9fb4ce4054c7ed7c512b4170ebf10de8e4266e90a201da8401c0	1930099260		NON_VOTER_NO	true	576	552	true	576	576	true
0	e0e729b4f8423268692fa18620584d4cca12db9ce9f67db432f7ef94	1913663577		NON_VOTER_NO	true	586		true	586	586	true
0	b6077430d7e340e65251a72c6a9b6be44953825b89a6da562b508977	1871346200		NON_VOTER_NO	true	586		true	586	586	true
0	8542246b1d7d011feef4cb8af2cba880466144b1b397d84ff0877e28	1859600748		NON_VOTER_NO	true	589		true	589	589	true
0	b8420a2866ba17635d8fa53b07ea6d4cb06b1a140f2a10499494d0d3	1596871694		EXCLUDED_INACTIVE	false	559		false	559	559	false
0	9f7518c687c457e009a8db3af0f2536880ea63d5def919ce3a57c195	1579460799		NON_VOTER_NO	true	591	571	true	591	591	true
0	1acffe26dce1fba81aa5f80b577f050b5c38e00a7377a28299a58c6b	1546550136		EXCLUDED_INACTIVE	false	551		false	551	551	false
0	09536269770d8754ec1a53d6636dd0d785dade81f6c06642738490a4	1515311372		EXCLUDED_INACTIVE	false	530		false	530	530	false
0	ad5c9b74d5fe2651b921d6845fe9fda0fb43cfe97359f3c0399b5a3a	1454342562		EXCLUDED_INACTIVE	false	529		false	529	507	false
0	2197eb271eba2733550e518030a081a53185ca77d399f6396fc5aa16	1410266407		EXCLUDED_INACTIVE	false	558	537	false	558	558	false
0	6514f0751f1491dbc692e2879300813d1205b4baa713663ab958abb7	1376983617		EXCLUDED_INACTIVE	false	550	527	false	550	550	false
0	aae99dbe95519160428cd549d6cf7d780e08ff0f6751962a2e603245	1368089932		EXCLUDED_INACTIVE	false	562	541	false	562	562	false
0	e3f29f4b4693be976cbb36073e26a68cd72d624b5450c2687a4ddfda	1365542937		NON_VOTER_NO	true	584		true	584	584	true
0	9e1a24508934f408987e949630d5573c60047f2e736c0a255ed442d4	1351319216		NON_VOTER_NO	true	594		true	594	594	true
0	8ee26a518ab9455d7ba63f9f98ccb0cac523084ea4017053b4bc27a0	1266454537		EXCLUDED_INACTIVE	false	570		false	570	570	false
0	81d011bebfa8abf0a8a3231603cad0c5ead0671857d26437c7beb846	1256293628		EXCLUDED_INACTIVE	false	546		false	546	546	false
0	f8c873fbae90468758009bc0a35961aa5428e07263deb9e81fa047fc	1228998389		NON_VOTER_NO	true	592	572	true	592	592	true
0	539f24b855cb4d69da103c2504e928838549586a3ed584e6bb6f44b0	1129848744		EXCLUDED_INACTIVE	false	531		false	531	531	false
0	90140acb9c51895a557676a84fdd4d6a5f547ad22ea662177f1f2ff5	1093126810		EXCLUDED_INACTIVE	false	529		false	529	529	false
0	d26857fa83d6f9a16fbe402097271179c3f8a2d537a0bedae7ca9cf0	1081643665		NON_VOTER_NO	true	577	553	true	577	577	true
